Artist,Album
Ramblin Jack Elliott,Hard Travelin
Vince Guaraldi Trio,A Boy Named Charlie Brown
Vince Guaraldi Trio,Charlie Browns Holiday Hits (Remastered)
Art Pepper,Art Pepper Meets The Rhythm Section (Remastered)
Dizzy Gillespie Sextet,Live At The 1965 Monterey Jazz Festival
Miles Davis,Bitches Brew (Legacy Edition)
Ultramarine,A Users Guide
London Symphony Orchestra,Shumann: Symphony No. 4
Tosca,Chocolate Elvis Dubs (Continuous Mix)
Meridian Arts Ensemble,Ear Mind I
Billie Holiday,The Essential Billie Holiday
Various Artists,Soul Christmas
Charlie Walker,Charlie Walker: Greatest Honky Tonk Hits
Sir Douglas Quintet,The Best Of Sir Douglas Quintet
Various Artists,Debussy: Rhapsody for Saxophone and Orchestra La Mer
The Everly Brothers,Theyre Off And Rolling Says Archie
Electric Wizard,Dopethrone
Neutral Milk Hotel,In the Aeroplane Over the Sea
Pixies,Doolittle
Ahmad Jamal,The Complete Ahmad Jamal Trio Argo Sessions 1956-62
Screamin Jay Hawkins,Voodoo Man
The Handsome Family,Singing Bones
James Blake,James Blake
Bikini Kill,CD Version of the First Two Records
King Geedorah,Take Me To Your Leader
Various Artists,Classic Appalachian Blues from Smithsonian Folkways
Various Artists,Folk Music of the Newport Folk Festival Vol. 2
Various Artists,Classic Blues from Smithsonian Folkways Vol. 2
Various Artists,Classic Bluegrass from Smithsonian Folkways
Dave Van Ronk,The Folkways Years 1959-1961
Fleet Foxes,Helplessness Blues
Pete Rock,Petestrumentals - 10th Anniversary Expanded & Limited Edition
Bright Eyes,Im Wide Awake Its Morning
Cults,Cults
Edvard Grieg,Classical Favorites - Grieg: Piano Concerto - Peer Gynt
Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagte
Various Artists,Maurice Ravel: Bolero
Bon Iver,Bon Iver
Thelonious Monk,Thelonious Alone in San Francisco [Original Jazz Classics Remasters]
Tosca,JAC
Various Artists,The Beat Generation 10th Anniversary Single Collection
Stan Getz Joo Gilberto,Getz/Gilberto
John Fahey,Christmas Guitar V. 1
Big Sean,Finally Famous (Deluxe Edition)
Flying Lotus,Los Angeles
Friedrich Gulda,Franz Schubert: 4 Imprompus Op. 901 and 6 moments musicaux Op. 94 - Fryderyck Chopin: Ballades Op. 23 and Op. 52
William Elliott Whitmore,Field Songs (Deluxe Edition)
Girls,Father Son Holy Ghost
Das Racist,Relax
Shin Joong Hyun,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Koreas Shin Joong Hyun 1958-1974
Bombay Bicycle Club,A Different Kind Of Fix
St. Vincent,Strange Mercy
T-Pain,5 OClock
Sister Rosetta Tharpe,Sister Rosetta Tharpe and the Spirit of Gospel (Vol. 4)
Drake,Take Care (Deluxe Version)
The JBs and Fred Wesley,The Lost Album
Luciano Berio,Berio: Sequenzas I-Xiv (Complete)
Gyrgy Ligeti,Ligeti: Chamber Music
Vijay Iyer Trio,Accelerando
Lana Del Rey,Born To Die (Deluxe Version)
Sleigh Bells,Reign of Terror
Lambchop,Mr. M
Various Artists,Nuit Classique
Odd Future,The OF Tape Vol. 2
Tanlines,Mixed Emotions
Dr. John,Locked Down
Battles,Dross Glop
Kishi Bashi,151a
Danny Brown,XXX (Deluxe Edition)
Michael Kiwanuka,Home Again
Mm,Early Birds
Paul McCartney & Linda McCartney,RAM
Jeremy Denk,Ligeti/Beethoven
Regina Spektor,What We Saw From The Cheap Seats (Deluxe Version)
Bobby Womack,The Bravest Man In The Universe
Paul Simon,Graceland (25th Anniversary Deluxe Edition)
Woody Guthrie,Woody At 100: The Woody Guthrie Centennial Collection
Dirty Projectors,Swing Lo Magellan
Matthew Dear,Beams
Foghorn Stringband,Outshine the Sun
Frank Ocean,channel ORANGE
Yeasayer,Fragrant World
Immortal Technique,Revolutionary Vol. 2
Various Artists,Kanye West Presents Good Music Cruel Summer
Tame Impala,Lonerism
Mac Demarco,2
Max Richter,Recomposed by Max Richter: Vivaldi The Four Seasons
Zebra Katz feat. Reddd Foxxx,Ima Read
Frank Zappa,Understanding America
Joey Bada$$,Waves
Chet Baker,1959 Milano Sessions (Chet Baker Len Mercer Orchestra Chet Baker Sextet)
Various Artists,Quentin Tarantinos Django Unchained Original Motion Picture Soundtrack
A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version)
Unknown Mortal Orchestra,II
Eels,Wonderful Glorious (Deluxe Edition)
Kavinsky,OutRun
DJ Koze,Amygdala
Majical Cloudz,Impersonator
Merle Haggard,Country Legends
Disclosure,Settle
Kanye West,Yeezus
Rashad Becker,Traditional Music of Notional Species Vol. I
Tropic Of Cancer,Restless Idylls
Barton Carroll,Avery County Im Bound to You
Juana Molina,Wed 21
Rain Dog,Two Words
Roy Harper,The Best of Roy Harper
Freddie Gibbs & Madlib,Piata
Avey Tares Slasher Flicks,Enter The Slasher House
Chad VanGaalen,Shrink Dust
Jamie xx,In Colour
